Tipo,Ocupacao,Tempo_Linear_ms,Tempo_Duplo_ms
Busca,10,1.957,1.807
Busca,20,1.639,2.117
Busca,30,1.808,1.956
Busca,40,1.941,1.710
Busca,50,1.856,1.932
Busca,60,1.892,1.669
Busca,70,1.628,1.828
Busca,80,1.823,1.663
Busca,90,1.619,1.737
Busca,99,1.948,2.021
Insercao,10,0.000,0.000
Insercao,20,0.000,0.000
Insercao,30,0.000,0.000
Insercao,40,0.000,0.000
Insercao,50,0.000,0.000
Insercao,60,0.000,0.000
Insercao,70,0.000,0.000
Insercao,80,0.000,0.000
Insercao,90,0.000,0.000
Insercao,99,0.000,0.000
